transaction_id,card_id,amount,hour,location_risk,merchant_risk,transactions_today,international,online,is_fraud
TXN000000,CARD0443,33.12,16,Low,New,1,False,False,0
TXN000001,CARD0102,64.35,21,Low,New,1,False,False,0
TXN000002,CARD1329,7.34,12,Low,Known,1,False,False,0
TXN000003,CARD1157,162.84,14,Medium,Known,2,False,True,0
TXN000004,CARD0393,148.53,20,Low,Known,1,False,False,0
TXN000005,CARD0635,232.21,7,Low,Known,4,False,True,0
TXN000006,CARD1325,26.73,13,Low,Known,1,False,False,0
TXN000007,CARD1997,75.2,13,Medium,Known,1,False,False,0
TXN000008,CARD1076,136.45,7,Low,Known,4,True,True,0
TXN000009,CARD0128,32.62,16,Medium,Known,2,False,False,0
TXN000010,CARD0153,13.98,21,Low,Known,1,True,False,0
TXN000011,CARD0118,242.08,6,Low,New,1,False,False,0
TXN000012,CARD0058,112.65,21,Low,Known,4,False,True,0
TXN000013,CARD1927,87.12,21,Low,New,1,True,True,0
TXN000014,CARD1086,31.82,13,Low,New,1,False,True,0
TXN000015,CARD1127,132.21,18,Low,Known,3,False,True,0
TXN000016,CARD0192,176.55,9,High,Known,1,False,False,0
TXN000017,CARD1450,193.25,19,Low,Known,1,False,False,0
TXN000018,CARD0181,127.39,20,Low,Known,1,False,False,0
TXN000019,CARD1213,20.31,7,Low,New,2,False,True,0
TXN000020,CARD1871,88.93,21,Medium,New,2,False,True,0
TXN000021,CARD1065,96.49,19,Medium,Known,4,False,False,0
TXN000022,CARD1776,74.22,19,Medium,New,4,False,False,0
TXN000023,CARD0974,59.76,9,Low,Known,1,False,True,0
TXN000024,CARD0702,64.07,18,Medium,New,4,False,False,0
TXN000025,CARD1283,29.31,6,Low,Known,3,False,False,0
TXN000026,CARD1817,146.56,13,Medium,New,3,False,False,0
TXN000027,CARD0376,24.64,12,Low,Known,2,False,False,0
TXN000028,CARD1893,58.36,11,Low,Known,3,False,False,0
TXN000029,CARD1826,103.95,11,Low,Known,4,False,False,0
TXN000030,CARD1025,81.04,19,Medium,Known,4,True,True,0
TXN000031,CARD1487,107.82,16,Low,Known,2,False,False,0
TXN000032,CARD1801,149.87,13,Low,Known,4,False,True,0
TXN000033,CARD0025,135.04,10,High,Known,1,False,False,0
TXN000034,CARD1575,65.68,18,Low,Known,3,False,False,0
TXN000035,CARD1239,23.59,15,Medium,New,4,False,False,0
TXN000036,CARD0497,35.2,13,Low,Known,3,False,True,0
TXN000037,CARD0386,171.66,20,Medium,Known,4,False,False,0
TXN000038,CARD1065,113.9,20,Medium,Known,2,False,False,0
TXN000039,CARD0044,86.1,14,Low,Known,2,False,False,0
TXN000040,CARD0157,115.65,12,Low,Known,4,False,False,0
TXN000041,CARD0403,277.79,11,Low,Known,4,False,False,0
TXN000042,CARD1298,42.32,21,Medium,Known,3,False,True,0
TXN000043,CARD1685,77.92,21,Medium,New,2,True,True,0
TXN000044,CARD1706,96.26,20,Medium,Known,2,False,False,0
TXN000045,CARD1672,121.67,12,Medium,Known,1,False,False,0
TXN000046,CARD0703,186.69,19,Low,Known,2,True,False,0
TXN000047,CARD1916,55.61,19,Low,Known,4,False,True,0
TXN000048,CARD0439,155.96,17,Medium,New,4,False,True,0
TXN000049,CARD1735,197.28,14,Medium,Known,1,True,True,0
TXN000050,CARD1636,68.64,18,High,Known,1,False,False,0
TXN000051,CARD1241,62.22,12,Low,New,4,False,False,0
TXN000052,CARD0142,10.88,19,Low,Known,2,False,True,0
TXN000053,CARD1446,165.06,21,Medium,New,1,False,False,0
TXN000054,CARD1591,64.81,12,Low,New,2,False,True,0
TXN000055,CARD1516,74.23,14,Low,New,3,True,False,0
TXN000056,CARD1469,66.64,18,Low,Known,2,False,False,0
TXN000057,CARD0245,142.83,11,High,Known,1,True,False,0
TXN000058,CARD1287,115.87,9,Low,New,4,False,False,0
TXN000059,CARD0678,62.18,20,Low,Known,4,False,False,0
TXN000060,CARD0958,11.31,7,Low,Known,4,False,False,0
TXN000061,CARD0530,17.23,14,Low,Known,2,False,False,0
TXN000062,CARD0274,17.63,9,Medium,Known,3,True,True,0
TXN000063,CARD1646,221.38,18,Low,Known,4,False,False,0
TXN000064,CARD1902,230.16,9,Low,New,4,True,False,0
TXN000065,CARD1498,31.66,18,Low,Known,2,False,False,0
TXN000066,CARD1651,40.52,19,Low,Known,3,True,True,0
TXN000067,CARD0630,136.26,7,Low,Known,4,False,True,0
TXN000068,CARD1365,249.85,18,Low,Known,1,False,True,0
TXN000069,CARD0920,10.01,10,Low,Known,3,False,False,0
TXN000070,CARD0661,90.91,17,Medium,Known,2,False,False,0
TXN000071,CARD0487,214.58,6,Low,Known,4,False,True,0
TXN000072,CARD1481,100.54,19,Low,Known,4,False,False,0
TXN000073,CARD0815,48.36,8,Low,Known,1,False,True,0
TXN000074,CARD1202,18.24,17,Medium,Known,1,False,False,0
TXN000075,CARD1790,158.32,11,Low,Known,1,False,False,0
TXN000076,CARD0646,45.6,7,Low,Known,2,False,False,0
TXN000077,CARD0839,100.51,9,Low,Known,1,False,True,0
TXN000078,CARD1471,63.11,16,Low,Known,2,False,False,0
TXN000079,CARD0493,74.64,15,Medium,New,3,True,True,0
TXN000080,CARD0110,37.83,9,Low,Known,4,False,False,0
TXN000081,CARD0292,119.48,6,Low,Known,3,False,False,0
TXN000082,CARD0648,170.75,9,Low,Known,2,False,True,0
TXN000083,CARD0696,5.28,12,Medium,Known,3,False,True,0
TXN000084,CARD1287,10.07,16,Low,Known,2,False,True,0
TXN000085,CARD1119,75.81,17,Medium,New,3,False,True,0
TXN000086,CARD1507,108.53,9,Medium,Known,4,False,True,0
TXN000087,CARD1776,109.74,8,Low,Known,2,False,True,0
TXN000088,CARD0485,46.52,15,Low,Known,4,False,True,0
TXN000089,CARD0860,16.66,21,Low,Known,3,False,False,0
TXN000090,CARD1200,796.42,4,High,New,14,True,False,1
TXN000091,CARD0186,276.37,7,Medium,Known,2,True,False,0
TXN000092,CARD1800,6.01,15,Low,New,3,False,False,0
TXN000093,CARD1716,89.86,20,Medium,Known,2,False,False,0
TXN000094,CARD1628,105.63,9,Medium,Known,3,False,True,0
TXN000095,CARD0018,130.63,18,Medium,Known,1,False,False,0
TXN000096,CARD0901,65.04,12,Low,Known,2,False,False,0
TXN000097,CARD1581,166.84,17,Low,Known,4,False,True,0
TXN000098,CARD1039,245.84,10,Medium,Known,2,True,True,0
TXN000099,CARD1587,34.37,11,Low,Known,4,False,False,0
TXN000100,CARD0588,28.21,11,Low,Known,1,False,False,0
TXN000101,CARD1580,27.16,16,Low,New,2,False,False,0
TXN000102,CARD1592,177.95,13,Low,Known,1,False,False,0
TXN000103,CARD1724,144.75,16,Low,Known,3,True,False,0
TXN000104,CARD1499,118.32,21,High,Known,1,False,False,0
TXN000105,CARD1345,81.63,20,Low,Known,4,False,False,0
TXN000106,CARD1417,36.81,9,Low,Known,1,False,False,0
TXN000107,CARD1914,55.17,15,Low,New,1,False,False,0
TXN000108,CARD1478,35.53,6,Low,Known,2,False,False,0
TXN000109,CARD1086,126.25,11,Low,Known,2,False,True,0
TXN000110,CARD1965,157.65,21,Medium,Known,4,False,False,0
TXN000111,CARD1995,58.31,10,Low,Known,3,False,False,0
TXN000112,CARD1426,104.55,10,Medium,Known,2,False,False,0
TXN000113,CARD0460,28.61,8,Low,Known,2,False,False,0
TXN000114,CARD1232,91.97,10,Medium,Known,3,False,False,0
TXN000115,CARD1204,110.15,13,Medium,Known,2,False,False,0
TXN000116,CARD1574,44.66,14,Medium,Known,3,False,False,0
TXN000117,CARD0752,27.98,18,Medium,Known,4,False,False,0
TXN000118,CARD1300,72.54,15,Medium,Known,1,False,False,0
TXN000119,CARD1938,131.59,14,Medium,Known,4,False,False,0
TXN000120,CARD0372,25.55,15,Medium,Known,2,False,False,0
TXN000121,CARD1734,110.72,18,Low,Known,2,False,False,0
TXN000122,CARD0868,51.44,21,Medium,New,1,True,False,0
TXN000123,CARD0516,52.69,20,Low,Known,1,False,False,0
TXN000124,CARD0231,21.36,16,Medium,Known,4,False,True,0
TXN000125,CARD1753,15.06,20,Low,Known,1,False,False,0
TXN000126,CARD1550,37.94,8,Low,Known,3,False,False,0
TXN000127,CARD0228,130.18,15,Low,Known,2,False,True,0
TXN000128,CARD1575,157.19,7,Low,New,4,True,False,0
TXN000129,CARD0706,27.41,17,Low,New,4,False,False,0
TXN000130,CARD0937,112.05,20,Medium,Known,3,True,False,0
TXN000131,CARD0904,165.68,14,Low,Known,2,False,True,0
TXN000132,CARD1432,35.2,11,Low,Known,1,False,False,0
TXN000133,CARD0862,77.15,21,Medium,Known,3,False,False,0
TXN000134,CARD1724,115.75,15,Low,New,1,False,False,0
TXN000135,CARD1256,186.3,21,Medium,Known,4,False,False,0
TXN000136,CARD0144,62.37,19,Medium,Known,1,True,False,0
TXN000137,CARD1546,43.72,13,Low,Known,3,False,True,0
TXN000138,CARD0463,53.39,19,Low,Known,3,False,True,0
TXN000139,CARD0483,72.54,7,Low,Known,1,False,False,0
TXN000140,CARD1920,186.79,7,Low,Known,1,False,False,0
TXN000141,CARD1515,51.06,18,Medium,Known,3,False,False,0
TXN000142,CARD0428,160.03,17,Low,Known,4,True,False,0
TXN000143,CARD1373,54.19,10,Low,Known,2,False,False,0
TXN000144,CARD1791,73.02,15,Low,Known,3,False,True,0
TXN000145,CARD0133,212.39,15,Low,New,3,False,True,0
TXN000146,CARD0865,73.66,13,Low,Known,1,True,False,0
TXN000147,CARD0056,71.95,10,Low,Known,3,False,True,0
TXN000148,CARD0379,125.14,7,Low,Known,2,False,False,0
TXN000149,CARD1064,69.35,7,Low,Known,1,False,False,0
TXN000150,CARD0071,137.41,7,Low,New,1,False,False,0
TXN000151,CARD0706,179.98,14,Low,Known,2,False,False,0
TXN000152,CARD0013,12.12,18,Low,Known,3,False,False,0
TXN000153,CARD1650,19.96,10,Low,Known,2,False,True,0
TXN000154,CARD0411,42.04,6,Low,Known,4,False,True,0
TXN000155,CARD1736,92.45,11,Low,Known,1,False,False,0
TXN000156,CARD0288,36.12,11,Low,Known,4,False,False,0
TXN000157,CARD1630,91.53,10,Low,Known,3,False,True,0
TXN000158,CARD1377,31.37,12,Medium,Known,1,True,False,0
TXN000159,CARD0319,32.73,11,Low,Known,2,False,False,0
TXN000160,CARD1912,45.99,8,Low,Known,1,False,False,0
TXN000161,CARD1193,206.45,21,Low,Known,1,False,True,0
TXN000162,CARD1179,122.72,19,Low,Known,1,False,False,0
TXN000163,CARD1306,414.4,6,Low,Known,3,True,False,0
TXN000164,CARD0379,42.01,10,Low,New,1,False,False,0
TXN000165,CARD0066,70.55,10,Low,New,2,False,True,0
TXN000166,CARD1688,86.52,21,Medium,New,4,True,True,0
TXN000167,CARD1723,254.26,18,Medium,Known,2,False,True,0
TXN000168,CARD0543,141.43,10,Low,Known,2,False,False,0
TXN000169,CARD0569,90.39,12,Low,Known,2,False,False,0
TXN000170,CARD1640,51.97,21,Low,Known,3,False,True,0
TXN000171,CARD0673,17.35,18,Low,New,4,False,False,0
TXN000172,CARD0653,143.71,13,Medium,Known,4,False,False,0
TXN000173,CARD1663,164.75,9,Low,Known,3,False,False,0
TXN000174,CARD1555,63.23,19,Medium,Known,3,False,False,0
TXN000175,CARD0964,34.49,10,Low,Known,4,False,True,0
TXN000176,CARD0264,290.1,17,Low,Known,2,False,False,0
TXN000177,CARD1517,56.42,20,Low,Known,2,False,True,0
TXN000178,CARD0683,110.06,8,Medium,Known,2,False,True,0
TXN000179,CARD0063,140.68,15,Low,Known,4,False,False,0
TXN000180,CARD0024,19.8,18,Medium,Known,4,False,True,0
TXN000181,CARD1264,138.46,16,Low,Known,2,False,True,0
TXN000182,CARD0351,116.2,7,Medium,Known,3,False,False,0
TXN000183,CARD0171,296.75,10,Low,Known,3,False,False,0
TXN000184,CARD1726,85.91,21,Low,Known,1,False,False,0
TXN000185,CARD1809,132.85,8,Low,Known,2,False,True,0
TXN000186,CARD0325,206.07,9,Medium,Known,4,False,True,0
TXN000187,CARD0737,25.35,9,Low,Known,2,False,False,0
TXN000188,CARD0738,30.27,6,Medium,New,1,False,False,0
TXN000189,CARD1169,55.45,21,Low,Known,4,True,False,0
TXN000190,CARD1523,21.14,14,Low,New,2,False,True,0
TXN000191,CARD1602,86.14,11,Medium,Known,3,False,True,0
TXN000192,CARD0072,179.54,8,Low,New,1,True,True,0
TXN000193,CARD1084,317.31,6,Medium,Known,2,False,False,0
TXN000194,CARD0123,51.88,11,Low,Known,3,False,True,0
TXN000195,CARD1519,124.39,9,Low,Known,3,False,False,0
TXN000196,CARD1883,41.33,20,Low,Known,4,False,False,0
TXN000197,CARD0392,126.74,15,Low,Known,1,True,False,0
TXN000198,CARD0661,57.27,6,Low,Known,2,False,False,0
TXN000199,CARD1435,80.35,12,Low,Known,3,False,False,0
TXN000200,CARD0363,112.11,15,Low,Known,3,False,False,0
TXN000201,CARD1865,136.87,19,Low,Known,2,False,False,0
TXN000202,CARD1364,35.19,10,Medium,Known,3,False,False,0
TXN000203,CARD0264,36.8,14,Medium,Known,1,False,True,0
TXN000204,CARD1203,73.72,14,Medium,New,4,True,False,0
TXN000205,CARD0917,67.75,6,Low,Known,1,False,True,0
TXN000206,CARD1112,6.51,7,Low,Known,1,False,True,0
TXN000207,CARD1334,60.56,20,Low,Known,1,False,False,0
TXN000208,CARD0776,68.5,10,Low,Known,2,False,False,0
TXN000209,CARD1250,180.69,7,Low,Known,3,False,False,0
TXN000210,CARD0077,52.54,17,Low,Known,1,False,False,0
TXN000211,CARD0486,42.53,8,Low,Known,2,False,True,0
TXN000212,CARD1323,215.13,15,Low,Known,1,False,False,0
TXN000213,CARD1914,133.35,15,Low,Known,2,False,False,0
TXN000214,CARD1540,86.0,14,Low,Known,1,False,False,0
TXN000215,CARD0708,85.47,15,Low,New,4,False,False,0
TXN000216,CARD0961,67.07,19,Low,Known,4,False,True,0
TXN000217,CARD0103,65.47,16,Low,Known,1,False,True,0
TXN000218,CARD0990,102.61,11,Low,New,1,False,False,0
TXN000219,CARD1568,27.33,14,Medium,Known,3,False,False,0
TXN000220,CARD0919,195.21,16,Low,Known,4,False,False,0
TXN000221,CARD1603,123.9,9,Low,Known,1,True,False,0
TXN000222,CARD0539,45.05,20,Low,Known,3,True,True,0
TXN000223,CARD0573,124.86,19,Medium,New,4,False,False,0
TXN000224,CARD0112,31.1,11,Low,Known,3,False,False,0
TXN000225,CARD1755,78.31,6,Low,Known,1,False,False,0
TXN000226,CARD0537,112.52,14,Low,Known,3,False,True,0
TXN000227,CARD1079,28.83,6,Medium,Known,3,False,False,0
TXN000228,CARD1573,64.75,21,Medium,Known,4,False,True,0
TXN000229,CARD0183,132.17,11,Medium,Known,2,False,False,0
TXN000230,CARD1922,67.9,16,Low,Known,2,False,True,0
TXN000231,CARD1463,137.28,10,Low,Known,3,False,False,0
TXN000232,CARD1009,52.43,12,Medium,Known,2,True,True,0
TXN000233,CARD1587,123.21,10,Medium,Known,4,False,False,0
TXN000234,CARD0975,54.78,6,Low,New,1,False,True,0
TXN000235,CARD1890,106.25,19,Low,Known,2,False,True,0
TXN000236,CARD1745,102.78,16,Low,Known,4,True,False,0
TXN000237,CARD0993,54.5,20,Low,Known,2,True,False,0
TXN000238,CARD0085,99.94,9,Low,Known,3,False,False,0
TXN000239,CARD1467,273.61,20,High,Known,2,False,False,0
TXN000240,CARD0746,116.3,13,Low,Known,2,False,False,0
TXN000241,CARD0875,61.25,2,Medium,Suspicious,15,True,True,1
TXN000242,CARD1404,118.79,8,Low,Known,1,False,False,0
TXN000243,CARD0118,47.43,11,Low,Known,2,False,False,0
TXN000244,CARD1459,82.61,10,Medium,New,2,False,False,0
TXN000245,CARD1844,121.11,8,Medium,Known,2,False,True,0
TXN000246,CARD1084,89.77,10,Low,Known,4,False,True,0
TXN000247,CARD1757,133.73,12,High,Known,4,False,True,0
TXN000248,CARD0227,76.17,9,Low,Known,1,False,True,0
TXN000249,CARD1394,114.58,19,Low,Known,4,False,False,0
TXN000250,CARD1735,110.13,10,Low,Known,1,False,False,0
TXN000251,CARD1931,38.78,13,Medium,Known,4,False,True,0
TXN000252,CARD0155,54.93,13,Low,New,1,False,False,0
TXN000253,CARD1864,17.5,10,Low,Known,1,False,False,0
TXN000254,CARD1555,93.03,21,Medium,New,2,False,False,0
TXN000255,CARD1604,14.66,13,Low,New,1,False,False,0
TXN000256,CARD0741,45.6,11,Medium,New,2,False,True,0
TXN000257,CARD0993,138.65,21,Low,Known,3,False,False,0
TXN000258,CARD1867,234.21,4,Medium,New,19,True,False,1
TXN000259,CARD1406,74.51,15,Medium,New,3,False,False,0
TXN000260,CARD0165,62.88,21,Medium,New,3,False,False,0
TXN000261,CARD1043,73.65,19,Medium,Known,3,False,False,0
TXN000262,CARD0138,37.97,12,Medium,Known,1,False,False,0
TXN000263,CARD1083,220.74,12,Low,Known,3,False,False,0
TXN000264,CARD1605,101.6,12,Low,Known,2,False,False,0
TXN000265,CARD1199,59.06,17,Low,Known,2,False,False,0
TXN000266,CARD0854,24.68,21,Medium,Known,3,False,True,0
TXN000267,CARD1796,139.18,6,Low,Known,2,False,False,0
TXN000268,CARD0907,155.42,19,Medium,Known,1,False,True,0
TXN000269,CARD0101,64.5,21,Low,Known,2,False,True,0
TXN000270,CARD1502,139.81,13,Low,Known,1,False,False,0
TXN000271,CARD0524,2.99,19,Low,Known,3,False,True,0
TXN000272,CARD1172,41.04,7,Low,Known,1,False,False,0
TXN000273,CARD1966,187.57,21,Low,Known,4,False,True,0
