user_id,show,genre,watch_time_minutes,rating,completed,device,time_of_day
U0117,The Crown,Sci-Fi,108.0,5.0,True,Tablet,Night
U0011,The Queen's Gambit,Drama,30.0,4.0,False,TV,Afternoon
U0046,Money Heist,Romance,59.0,4.7,False,TV,Evening
U0745,Stranger Things,Documentary,24.0,3.0,True,Laptop,Night
U0994,Dark,Action,33.0,4.0,True,Mobile,Afternoon
U0716,Narcos,Sci-Fi,77.0,3.3,False,TV,Night
U0900,Money Heist,Thriller,88.0,3.3,True,Mobile,Night
U0012,Black Mirror,Horror,41.0,3.5,False,TV,Afternoon
U0631,The Witcher,Action,57.0,2.8,True,Mobile,Morning
U0755,Ozark,Documentary,94.0,4.7,False,Laptop,Evening
U0516,Bridgerton,Horror,38.0,4.0,True,Laptop,Evening
U0578,The Crown,Horror,85.0,4.3,False,TV,Evening
U0552,The Witcher,Action,9.0,3.4,True,Mobile,Evening
U0002,Black Mirror,Documentary,104.0,2.5,False,Mobile,Evening
U0985,Bridgerton,Thriller,40.0,2.7,True,Laptop,Morning
U0449,Narcos,Horror,87.0,3.8,True,TV,Afternoon
U0970,Dark,Horror,59.0,2.6,True,Laptop,Afternoon
U0980,The Queen's Gambit,Comedy,29.0,3.5,False,Laptop,Evening
U0719,Money Heist,Horror,151.0,3.5,True,Mobile,Afternoon
U0485,The Witcher,Comedy,29.0,3.3,True,Tablet,Night
U0811,The Crown,Drama,42.0,3.7,True,Mobile,Evening
U0852,Black Mirror,Sci-Fi,87.0,3.2,True,Laptop,Afternoon
U0358,The Witcher,Action,60.0,4.5,False,Laptop,Evening
U0145,Dark,Sci-Fi,60.0,3.5,False,Tablet,Evening
U0287,The Witcher,Sci-Fi,51.0,4.0,False,TV,Night
U0681,The Queen's Gambit,Sci-Fi,22.0,3.6,True,Laptop,Night
U0644,Money Heist,Comedy,27.0,4.4,True,Laptop,Afternoon
U0822,Black Mirror,Drama,66.0,4.9,True,TV,Evening
U0417,Stranger Things,Sci-Fi,117.0,5.0,True,Mobile,Evening
U0794,Narcos,Sci-Fi,83.0,2.5,True,TV,Evening
U0814,The Crown,Horror,47.0,3.6,False,TV,Night
U0470,Ozark,Thriller,56.0,4.2,True,Tablet,Evening
U0648,Dark,Horror,173.0,4.1,False,Mobile,Afternoon
U0108,Dark,Action,40.0,3.3,True,TV,Night
U0452,Money Heist,Action,53.0,4.2,True,TV,Evening
U0277,Money Heist,Horror,3.0,4.2,True,Laptop,Night
U0720,Stranger Things,Thriller,12.0,4.7,False,Laptop,Night
U0915,Bridgerton,Thriller,19.0,2.8,False,Laptop,Afternoon
U0977,Money Heist,Sci-Fi,52.0,3.2,True,TV,Evening
U0441,The Queen's Gambit,Thriller,24.0,5.0,True,Mobile,Night
U0459,Black Mirror,Sci-Fi,79.0,4.0,True,TV,Morning
U0744,The Witcher,Drama,27.0,2.5,True,Mobile,Evening
U0828,The Crown,Horror,13.0,4.0,False,Laptop,Evening
U0381,Dark,Comedy,9.0,3.7,True,Tablet,Evening
U0116,Narcos,Romance,27.0,3.0,True,TV,Evening
U0912,Stranger Things,Sci-Fi,65.0,3.4,True,Tablet,Night
U0364,Stranger Things,Drama,11.0,3.6,False,Laptop,Evening
U0460,Money Heist,Horror,30.0,3.2,True,Tablet,Evening
U0843,Ozark,Horror,12.0,4.2,True,Mobile,Evening
U0012,Stranger Things,Thriller,27.0,5.0,True,Laptop,Afternoon
U0007,Bridgerton,Romance,87.0,2.8,True,TV,Night
U0768,Dark,Drama,31.0,2.2,True,TV,Night
U0238,Bridgerton,Comedy,35.0,4.2,True,Mobile,Evening
U0079,Bridgerton,Documentary,83.0,3.7,True,Mobile,Evening
U0828,Money Heist,Sci-Fi,59.0,5.0,True,TV,Night
U0778,The Queen's Gambit,Thriller,95.0,4.3,True,Mobile,Afternoon
U0149,The Queen's Gambit,Horror,104.0,4.0,True,Mobile,Night
U0785,The Witcher,Action,25.0,4.2,False,Laptop,Night
U0703,Ozark,Action,17.0,2.7,True,Tablet,Afternoon
U0574,The Witcher,Romance,39.0,5.0,True,Mobile,Evening
U0986,The Crown,Documentary,73.0,3.0,True,Mobile,Night
U0183,The Witcher,Thriller,41.0,3.5,True,Laptop,Evening
U0925,Money Heist,Thriller,62.0,3.3,True,Mobile,Afternoon
U0010,The Crown,Thriller,85.0,4.3,True,TV,Evening
U0945,Stranger Things,Horror,60.0,3.8,True,TV,Night
U0385,Ozark,Sci-Fi,51.0,3.8,True,Mobile,Night
U0436,Ozark,Action,26.0,2.9,True,Laptop,Morning
U0138,Money Heist,Action,7.0,4.3,True,TV,Afternoon
U0382,Bridgerton,Romance,100.0,3.8,False,TV,Afternoon
U0859,Narcos,Thriller,63.0,5.0,False,Laptop,Afternoon
U0783,Stranger Things,Sci-Fi,60.0,3.6,True,TV,Afternoon
U0414,Bridgerton,Documentary,21.0,3.5,False,Laptop,Evening
U0039,Stranger Things,Horror,42.0,4.5,True,Laptop,Night
U0647,Black Mirror,Horror,21.0,4.7,True,Mobile,Night
U0770,The Witcher,Action,21.0,3.8,True,TV,Evening
U0421,Stranger Things,Sci-Fi,61.0,3.9,False,Mobile,Afternoon
U0186,Narcos,Drama,20.0,3.5,True,Laptop,Evening
U0473,Dark,Documentary,65.0,2.8,True,Laptop,Evening
U0598,Dark,Thriller,58.0,4.5,True,Laptop,Night
U0070,Narcos,Comedy,73.0,3.1,False,Laptop,Evening
U0805,Money Heist,Documentary,4.0,3.5,True,Mobile,Night
U0221,Ozark,Sci-Fi,30.0,4.4,True,Mobile,Evening
U0915,Ozark,Drama,17.0,4.2,False,Tablet,Afternoon
U0868,Ozark,Sci-Fi,20.0,4.1,True,TV,Morning
U0476,The Queen's Gambit,Horror,26.0,4.2,True,TV,Evening
U0559,Black Mirror,Drama,16.0,4.0,False,TV,Night
U0862,Money Heist,Documentary,11.0,3.3,True,Mobile,Evening
U0704,The Witcher,Horror,12.0,4.0,True,Mobile,Night
U0838,The Queen's Gambit,Romance,31.0,3.6,False,Mobile,Morning
U0408,Dark,Romance,17.0,3.0,False,Tablet,Evening
U0991,Dark,Drama,18.0,3.8,True,TV,Night
U0441,The Witcher,Horror,22.0,3.7,True,Laptop,Evening
U0472,Black Mirror,Documentary,45.0,2.5,False,Tablet,Afternoon
U0131,Black Mirror,Thriller,27.0,2.8,False,Tablet,Afternoon
U0161,The Crown,Documentary,16.0,4.3,True,Mobile,Afternoon
U0354,Dark,Comedy,29.0,4.1,True,Mobile,Evening
U0853,The Witcher,Thriller,132.0,3.6,False,Mobile,Night
U0588,Narcos,Action,37.0,3.7,True,Laptop,Afternoon
U0391,The Witcher,Horror,104.0,4.4,True,TV,Evening
U0628,The Queen's Gambit,Sci-Fi,74.0,3.8,False,Mobile,Evening
U0774,Black Mirror,Horror,22.0,3.1,True,TV,Afternoon
U0008,Narcos,Horror,35.0,5.0,False,TV,Night
U0104,The Crown,Thriller,87.0,2.8,True,TV,Night
U0875,Narcos,Romance,49.0,3.4,False,Laptop,Afternoon
U0260,Money Heist,Romance,27.0,4.0,True,Tablet,Evening
U0887,The Witcher,Documentary,50.0,4.1,True,TV,Night
U0666,The Witcher,Comedy,21.0,4.0,True,Laptop,Evening
U0395,The Crown,Action,52.0,2.9,False,Laptop,Evening
U0277,Narcos,Thriller,20.0,3.3,True,Mobile,Night
U0953,Black Mirror,Sci-Fi,30.0,4.4,False,TV,Morning
U0893,The Crown,Thriller,65.0,4.2,False,TV,Morning
U0579,Bridgerton,Thriller,17.0,3.0,True,TV,Evening
U0654,Bridgerton,Horror,23.0,4.0,False,TV,Afternoon
