song_id,artist,genre,duration_seconds,tempo_bpm,energy,danceability,valence,acousticness,mood,play_count,skip_rate,added_to_playlist,release_year
S0000,The Weeknd,Pop,179,128,0.05124361386791643,0.6296896345164623,0.1718205433894272,0.9616393949415668,Happy,499,0.0801086053480205,False,2019
S0001,Bad Bunny,Pop,135,90,0.5766983129048074,0.9693566242893686,0.9801754077924952,0.011754055314911471,Focused,6,0.3063120926079363,True,2023
S0002,Ariana Grande,Country,281,76,0.4289443495785251,0.7389669811201082,0.45956749901403804,0.26780213713812717,Energetic,3368,0.12782304875682424,False,2018
S0003,Ariana Grande,Country,345,60,0.7839921624972398,0.6522935773235735,0.8101321320957232,0.026316480464045555,Motivational,1670,0.1102869022787348,True,2015
S0004,Justin Bieber,Country,187,174,0.23162533292079424,0.7930970499840683,0.44418591146249975,0.6391996084260329,Focused,324,0.293016141930941,False,2023
S0005,Ed Sheeran,Indie,155,150,0.3633175162040023,0.5177566710836773,0.9247344002432946,0.8626122087330669,Calm,1716,0.31647032460298574,False,2023
S0006,Taylor Swift,Latin,259,62,0.32229239811307053,0.4150290113798324,0.6025731505687505,0.10286556230845467,Focused,110,0.36215781849238776,False,2017
S0007,Post Malone,Indie,319,156,0.4240037774373019,0.21544099002005035,0.19167224115791626,0.12987365576815313,Motivational,143,0.3133978886027087,True,2018
S0008,Bad Bunny,Rock,349,81,0.3038473078653404,0.08274536438391611,0.552533487246466,0.6811372905800269,Romantic,441,0.5138516696162414,False,2016
S0009,Ariana Grande,Indie,225,151,0.20836324642952941,0.5401984894846591,0.48590109438973184,0.9549660381263271,Motivational,1246,0.35240624595199965,False,2019
S0010,Ariana Grande,Latin,137,150,0.128410216003091,0.6234604537338709,0.8252107149971774,0.5430731204443534,Party,1479,0.47531028262186614,False,2017
S0011,The Weeknd,Indie,143,149,0.4606615944337301,0.368096061610914,0.41895737043196934,0.8648275649544152,Focused,487,0.4832428741114234,True,2019
S0012,Post Malone,Rock,190,62,0.4605679530413693,0.5763233238916359,0.18470030355188105,0.9790230609997549,Calm,137,0.27910921930592475,False,2019
S0013,Post Malone,Rock,160,72,0.8701789107996901,0.02367829678165001,0.23609927117895835,0.6396153187691489,Energetic,1422,0.41652074968688096,False,2021
S0014,Billie Eilish,Rock,174,175,0.00889487029946956,0.4370855932661809,0.6433021702438009,0.4876294108504906,Energetic,1811,0.16050582452914003,True,2015
S0015,Taylor Swift,R&B,153,78,0.8174269448269756,0.4665678139936218,0.6988397313944776,0.43539231760214026,Party,708,0.44018551220696783,True,2021
S0016,Dua Lipa,Hip-Hop,120,75,0.22376569551915293,0.32646387713878244,0.8520606736926386,0.7100364727681291,Calm,1219,0.15281449268375014,False,2015
S0017,Drake,Pop,304,97,0.6515639166230743,0.5313265901665148,0.9123889281879898,0.9468991454562128,Party,458,0.1521835324041191,False,2015
S0018,Post Malone,Latin,246,136,0.8842709570902328,0.22813717611039808,0.5052204720668457,0.5177488514531299,Motivational,1328,0.42673813315732917,True,2019
S0019,The Weeknd,Indie,121,145,0.5310039328701652,0.7264210479993775,0.6007403418097771,0.275170657872184,Calm,66,0.31688757815059526,True,2019
S0020,Dua Lipa,R&B,201,123,0.5522865928505071,0.23367133962670283,0.7387886604153886,0.19050997984465046,Motivational,401,0.034189800954376945,False,2020
S0021,Dua Lipa,Latin,171,168,0.33409721745213317,0.8660521479144841,0.8026816900987593,0.30570803201272134,Sad,17,0.48277559695974903,False,2023
S0022,Ed Sheeran,Indie,140,71,0.9615785756748697,0.9521820485642256,0.8141257357316991,0.8280406337656241,Happy,933,0.3333278433738423,False,2021
S0023,Ariana Grande,Latin,171,163,0.86910375095263,0.4964884657155466,0.04039854933147391,0.9192934589009517,Motivational,550,0.3503646832017385,True,2023
S0024,Billie Eilish,Hip-Hop,171,116,0.8998477419073576,0.5048741630643795,0.0686196419270072,0.8323062466476017,Party,578,0.42566621022933376,False,2019
S0025,Ariana Grande,Country,162,174,0.27175092201535145,0.004578219093491875,0.41307484489368806,0.06405847607209492,Focused,30,0.3508196197220067,True,2020
S0026,Justin Bieber,Hip-Hop,212,78,0.23434390782752235,0.9874317250812737,0.7411724745554484,0.3226143954330113,Happy,516,0.20690825584721736,False,2021
S0027,The Weeknd,Indie,138,112,0.3601291634772311,0.46823240641311237,0.28628813562176436,0.5586026027560792,Sad,112,0.26614112306710846,True,2020
S0028,Post Malone,Latin,323,128,0.47424816181086216,0.8027949305610029,0.6912228135185302,0.3736074378445966,Sad,1794,0.17614572066560605,False,2023
S0029,Taylor Swift,Country,125,91,0.3999315889797228,0.6190550772151063,0.33905498849847693,0.8440433729651045,Happy,1717,0.2615350989049724,False,2022
S0030,Ed Sheeran,R&B,135,123,0.039051816805124595,0.3139883983830347,0.7487181037965435,0.7161848731784476,Sad,322,0.29301563565565986,True,2017
S0031,Bad Bunny,Pop,185,62,0.3195542685539612,0.6672580527482136,0.25404480329250356,0.2697513866033695,Motivational,463,0.4976383269285888,False,2016
S0032,Taylor Swift,Indie,158,171,0.026504715041485216,0.8427891988602492,0.3284790331247692,0.03199914727072173,Party,789,0.07570728799567591,False,2019
S0033,The Weeknd,R&B,334,168,0.9346678797574298,0.023316616936885026,0.13228174429444306,0.30635916809472385,Focused,736,0.17048813322688394,False,2020
S0034,Dua Lipa,R&B,201,152,0.23321397428145552,0.22471862857055103,0.2670199981518624,0.07052121707013981,Focused,461,0.1809911512849111,False,2018
S0035,Ed Sheeran,Hip-Hop,229,154,0.3234690392222821,0.48281207842900264,0.6153299887867582,0.14341892981037407,Romantic,285,0.19743585436075722,False,2018
S0036,Billie Eilish,Country,319,143,0.8119530590288713,0.3794624566246326,0.9209178959327862,0.12395692368479239,Sad,3592,0.34961353434480136,False,2015
S0037,Justin Bieber,Rock,344,91,0.45358133355003816,0.7568906963062145,0.7544799002025836,0.17251046491147615,Party,508,0.20714220135276037,False,2022
S0038,Bad Bunny,R&B,295,110,0.2904023249473543,0.19291877610964026,0.24265005494813163,0.5234188155186568,Focused,475,0.6929800808435218,False,2018
S0039,Bad Bunny,Indie,168,173,0.24140277622595674,0.40772024533954165,0.5709706097132645,0.8471537483345454,Energetic,565,0.12059841962000652,False,2023
S0040,Ariana Grande,Latin,172,147,0.30989902465557806,0.5465377077952777,0.1539612533399244,0.6601804646190677,Happy,218,0.18024404693939988,False,2018
S0041,Drake,Indie,347,142,0.8171243822425951,0.16467888497972005,0.6276084192100992,0.765251920011025,Party,1073,0.314309550969342,False,2016
S0042,Ariana Grande,Pop,259,149,0.10540006892207854,0.14355542748276684,0.4328151189268774,0.6443531321756756,Romantic,3332,0.2696742580789848,False,2021
S0043,Taylor Swift,R&B,330,68,0.4259614341897069,0.5929947164618022,0.5287684743569502,0.3429479924703085,Happy,34,0.1842226489242389,True,2019
S0044,The Weeknd,Hip-Hop,293,86,0.6314332059954955,0.2984810391330537,0.7991318354561088,0.43941444727517287,Focused,1439,0.5986309676561419,False,2019
S0045,Ed Sheeran,Country,187,177,0.8243612452425519,0.36944388068124023,0.13199022139514305,0.8113574055110773,Calm,243,0.3819258684267154,False,2023
S0046,Drake,R&B,156,87,0.24797810870197268,0.40775482749027625,0.11314696267316404,0.6156803990112707,Energetic,407,0.1708556668072415,True,2016
S0047,Taylor Swift,Hip-Hop,316,98,0.19072930168091684,0.37791344665304283,0.555757233278772,0.32891411881387234,Focused,3001,0.23400628960167905,False,2017
S0048,Dua Lipa,Hip-Hop,126,143,0.3047977134531511,0.9786271734480637,0.6535211823989787,0.9922579283320703,Calm,4767,0.336878383411613,False,2022
S0049,Ed Sheeran,Hip-Hop,347,169,0.0267019599188264,0.7943694781286381,0.3552759224085069,0.32728196762029227,Calm,20,0.20420069211566513,False,2023
S0050,Ariana Grande,Pop,296,167,0.9037038429243462,0.92723401757763,0.9900264979799055,0.8584637298070723,Calm,247,0.48025766391509866,True,2020
S0051,Drake,Hip-Hop,302,123,0.2684294398817002,0.8167041807662624,0.09146678938494512,0.3773997675977022,Sad,600,0.14806010893326313,True,2020
S0052,Dua Lipa,Indie,153,148,0.1533742384118385,0.8506505452167705,0.9624142573284351,0.023159111698846435,Energetic,1957,0.3015655954792272,False,2022
S0053,Taylor Swift,R&B,184,87,0.44844947753937736,0.4229758105085609,0.8247636240977686,0.798113200105595,Focused,737,0.29958769977399125,False,2018
