city,date,temperature,humidity,precipitation,wind_speed,conditions,uv_index
New York,2023-01-01,73.2,62.0,0.52,17.4,Cloudy,4.0
New York,2023-01-02,47.5,56.0,0.5,5.8,Sunny,8.0
New York,2023-01-03,65.2,68.0,0.12,9.1,Cloudy,4.0
New York,2023-01-04,72.0,62.0,0.0,14.9,Sunny,4.0
New York,2023-01-05,82.5,53.0,0.59,16.3,Sunny,10.0
New York,2023-01-06,51.0,52.0,0.0,2.5,Stormy,5.0
New York,2023-01-07,63.3,64.0,0.07,17.0,Sunny,5.0
New York,2023-01-08,66.4,53.0,0.0,15.7,Sunny,4.0
New York,2023-01-09,75.6,56.0,0.68,8.7,Rainy,6.0
New York,2023-01-10,59.0,55.0,0.01,4.3,Cloudy,3.0
New York,2023-01-11,55.6,66.0,0.0,12.3,Sunny,2.0
New York,2023-01-12,65.6,56.0,0.75,7.6,Sunny,6.0
New York,2023-01-13,61.7,53.0,0.0,15.1,Cloudy,5.0
New York,2023-01-14,71.2,53.0,0.04,14.1,Sunny,6.0
New York,2023-01-15,59.9,53.0,0.52,9.5,Sunny,6.0
New York,2023-01-16,56.6,60.0,0.0,20.4,Cloudy,6.0
New York,2023-01-17,92.2,52.0,0.0,10.5,Sunny,8.0
New York,2023-01-18,80.4,51.0,0.4,5.5,Cloudy,4.0
New York,2023-01-19,58.9,64.0,0.44,10.3,Cloudy,7.0
New York,2023-01-20,85.7,67.0,0.79,6.8,Cloudy,7.0
New York,2023-01-21,74.9,61.0,0.8,11.1,Stormy,5.0
New York,2023-01-22,57.4,64.0,0.0,10.8,Sunny,8.0
New York,2023-01-23,58.4,55.0,0.23,9.3,Rainy,8.0
New York,2023-01-24,60.6,69.0,0.5,1.6,Stormy,2.0
New York,2023-01-25,70.3,51.0,0.5,8.2,Sunny,8.0
New York,2023-01-26,73.4,60.0,0.0,13.2,Sunny,10.0
New York,2023-01-27,73.6,57.0,0.54,10.9,Cloudy,6.0
New York,2023-01-28,62.5,57.0,0.54,5.8,Sunny,6.0
New York,2023-01-29,74.1,66.0,0.0,3.1,Sunny,6.0
New York,2023-01-30,61.9,69.0,0.0,9.8,Rainy,2.0
New York,2023-01-31,77.8,59.0,0.86,11.4,Stormy,6.0
New York,2023-02-01,78.8,62.0,0.0,6.0,Sunny,7.0
